get headers list|public java.util.List<com.google.privacy.dlp.v2.FieldId> () { return headers_; }
register custom layer|public static void (String layerName, Class<? extends KerasLayer> configClass) { customLayers.put(layerName, configClass); }
of|public static SnapshotInfo (SnapshotId snapshotId, DiskId source) { return newBuilder(snapshotId, source).build(); }
fail task|private void (final ExecutionAttemptID executionAttemptID, final Throwable cause) { final Task task = taskSlotTable.getTask(executionAttemptID); if (task != null) { try { task.failExternally(cause); } catch (Throwable t) { log.error("Could not fail task {}.", executionAttemptID, t); } } else { log.debug("Cannot find task to fail for execution {}.", executionAttemptID); } }
cli disconnect|@Deprecated public void (String cause) throws ExecutionException, InterruptedException { checkPermission(DISCONNECT); disconnect(new ByCLI(cause)).get(); }
keys for bucket|public List<String> (String bucket) { AmazonS3 s3 = getClient(); List<String> ret = new ArrayList<>(); ListObjectsRequest listObjectsRequest = new ListObjectsRequest().withBucketName(bucket); ObjectListing objectListing; do { objectListing = s3.listObjects(listObjectsRequest); for (S3ObjectSummary objectSummary : objectListing.getObjectSummaries()) { ret.add(objectSummary.getKey()); } listObjectsRequest.setMarker(objectListing.getNextMarker()); } while (objectListing.isTruncated()); return ret; }
new convertible values|private ConvertibleValues<Object> (Map<CharSequence, Object> values) { if (CollectionUtils.isEmpty(values)) { return ConvertibleValues.EMPTY; } else { return ConvertibleValues.of(values); } }
scan file|private void (File file, String rootDir) { if (file.isFile()) { final String fileName = file.getAbsolutePath(); if (fileName.endsWith(FileUtil.CLASS_EXT)) { final String className = // fileName.substring(rootDir.length(), // fileName.length() - 6).replace(File.separatorChar, // CharUtil.DOT); //加入满足条件的类 addIfAccept(className); } else if (fileName.endsWith(FileUtil.JAR_FILE_EXT)) { try { scanJar(new JarFile(file)); } catch (IOException e) { throw new IORuntimeException(e); } } } else if (file.isDirectory()) { for (File subFile : file.listFiles()) { scanFile(subFile, (null == rootDir) ? subPathBeforePackage(file) : rootDir); } } }
init keys|@SuppressWarnings("unchecked") public T () { KeyPair keyPair = SecureUtil.generateKeyPair(this.algorithm); this.publicKey = keyPair.getPublic(); this.privateKey = keyPair.getPrivate(); return (T) this; }
unchecked|public static RuntimeException (@Nullable Throwable t) { if (t instanceof RuntimeException) { throw (RuntimeException) t; } if (t instanceof Error) { throw (Error) t; } throw new UncheckedException(t); }
add urls|public void (Collection<URL> urls) { Assert.notNull(urls, "Urls must not be null"); this.urls.addAll(urls); }
wrapped buffer|public static ByteBuf (ByteBuf buffer) { if (buffer.isReadable()) { return buffer.slice(); } else { buffer.release(); return EMPTY_BUFFER; } }
utf encode|public static byte[] (CharSequence string) { try { ByteBuffer bytes = UTF8.newEncoder().encode(CharBuffer.wrap(string)); byte[] bytesCopy = new byte[bytes.limit()]; System.arraycopy(bytes.array(), 0, bytesCopy, 0, bytes.limit()); return bytesCopy; } catch (CharacterCodingException e) { throw new RuntimeException(e); } }
parse groovy script|public static GroovyObject (final Resource groovyScript, final boolean failOnError) { return AccessController.doPrivileged((PrivilegedAction<GroovyObject>) () -> { val parent = ScriptingUtils.class.getClassLoader(); try (val loader = new GroovyClassLoader(parent)) { val groovyFile = groovyScript.getFile(); if (groovyFile.exists()) { val groovyClass = loader.parseClass(groovyFile); LOGGER.trace("Creating groovy object instance from class [{}]", groovyFile.getCanonicalPath()); return (GroovyObject) groovyClass.getDeclaredConstructor().newInstance(); } LOGGER.trace("Groovy script at [{}] does not exist", groovyScript); } catch (final Exception e) { if (failOnError) { throw new RuntimeException(e); } LOGGER.error(e.getMessage(), e); } return null; }); }
build table attribute values map from ticket|public Map<String, AttributeValue> (final Ticket ticket, final Ticket encTicket) { val values = new HashMap<String, AttributeValue>(); values.put(ColumnNames.ID.getColumnName(), new AttributeValue(encTicket.getId())); values.put(ColumnNames.PREFIX.getColumnName(), new AttributeValue(ticket.getPrefix())); values.put(ColumnNames.CREATION_TIME.getColumnName(), new AttributeValue(ticket.getCreationTime().toString())); values.put(ColumnNames.COUNT_OF_USES.getColumnName(), new AttributeValue().withN(Integer.toString(ticket.getCountOfUses()))); values.put(ColumnNames.TIME_TO_LIVE.getColumnName(), new AttributeValue().withN(Long.toString(ticket.getExpirationPolicy().getTimeToLive()))); values.put(ColumnNames.TIME_TO_IDLE.getColumnName(), new AttributeValue().withN(Long.toString(ticket.getExpirationPolicy().getTimeToIdle()))); values.put(ColumnNames.ENCODED.getColumnName(), new AttributeValue().withB(ByteBuffer.wrap(SerializationUtils.serialize(encTicket)))); LOGGER.debug("Created attribute values [{}] based on provided ticket [{}]", values, encTicket.getId()); return values; }
get session management methods combo box|protected JComboBox<SessionManagementMethodType> () { if (sessionManagementMethodsComboBox == null) { Vector<SessionManagementMethodType> methods = new Vector<>(extension.getSessionManagementMethodTypes()); sessionManagementMethodsComboBox = new JComboBox<>(methods); sessionManagementMethodsComboBox.setSelectedItem(null); // Prepare the listener for the change of selection sessionManagementMethodsComboBox.addItemListener(new ItemListener() { @Override public void itemStateChanged(ItemEvent e) { if (e.getStateChange() == ItemEvent.SELECTED) { // Prepare the new session management method log.debug("Selected new Session Management type: " + e.getItem()); SessionManagementMethodType type = ((SessionManagementMethodType) e.getItem()); // different class, create it now if (selectedMethod == null || !type.isTypeForMethod(selectedMethod)) { // Create the new session management method selectedMethod = type.createSessionManagementMethod(getContextIndex()); } // Show the status panel and configuration button, if needed changeMethodConfigPanel(type); if (type.hasOptionsPanel()) shownConfigPanel.bindMethod(selectedMethod); } } }); } return sessionManagementMethodsComboBox; }
severity for|private static Severity (Level level) { switch(level.toInt()) { // TRACE case 5000: return Severity.DEBUG; // DEBUG case 10000: return Severity.DEBUG; // INFO case 20000: return Severity.INFO; // WARNING case 30000: return Severity.WARNING; // ERROR case 40000: return Severity.ERROR; default: return Severity.DEFAULT; } }
execute|public int (final String user, final List<String> command) throws IOException { log.info("Command: " + command); final Process process = new ProcessBuilder().command(constructExecuteAsCommand(user, command)).inheritIO().start(); int exitCode; try { exitCode = process.waitFor(); } catch (final InterruptedException e) { log.error(e.getMessage(), e); exitCode = 1; } return exitCode; }
next|public ByteBuffer (ByteBuffer inBytes) throws GeneralSecurityException { Preconditions.checkState(!isFinished(), "Handshake has already finished."); HandshakerReq.Builder req = HandshakerReq.newBuilder().setNext(NextHandshakeMessageReq.newBuilder().setInBytes(ByteString.copyFrom(inBytes.duplicate())).build()); HandshakerResp resp; try { resp = handshakerStub.send(req.build()); } catch (IOException | InterruptedException e) { throw new GeneralSecurityException(e); } handleResponse(resp); inBytes.position(inBytes.position() + resp.getBytesConsumed()); return resp.getOutFrames().asReadOnlyByteBuffer(); }
calculate sole transition path length|private int (String str) { Stack<MDAGNode> transitionPathNodeStack = sourceNode.getTransitionPathNodes(str); //The MDAGNode at the top of the stack is not needed transitionPathNodeStack.pop(); //(we are processing the outgoing transitions of nodes inside str's _transition path, //the outgoing transitions of the MDAGNode at the top of the stack are outside this path) transitionPathNodeStack.trimToSize(); //each node in the _transition path has a single outgoing _transition and is not an accept state. while (!transitionPathNodeStack.isEmpty()) { MDAGNode currentNode = transitionPathNodeStack.peek(); if (currentNode.getOutgoingTransitions().size() <= 1 && !currentNode.isAcceptNode()) transitionPathNodeStack.pop(); else break; } return (transitionPathNodeStack.capacity() - transitionPathNodeStack.size()); }
is connection close|public boolean () { boolean result = true; if (mMalformedHeader) { return true; } if (isHttp10()) { // HTTP 1.0 default to close unless keep alive. result = true; try { if (getHeader(CONNECTION).equalsIgnoreCase(_KEEP_ALIVE) || getHeader(PROXY_CONNECTION).equalsIgnoreCase(_KEEP_ALIVE)) { return false; } } catch (NullPointerException e) { } } else if (isHttp11()) { // HTTP 1.1 default to keep alive unless close. result = false; try { if (getHeader(CONNECTION).equalsIgnoreCase(_CLOSE)) { return true; } else if (getHeader(PROXY_CONNECTION).equalsIgnoreCase(_CLOSE)) { return true; } } catch (NullPointerException e) { } } return result; }
get user|@GetMapping("/user") public ResponseEntity<User> (//<1> @VersionApi int version, @RequestParam("id") String id) { throw new UnsupportedOperationException(); }
processing failure|@Override public void (Exception error) { log.error(requestId, "readTable {} failed", tableName, error); handleError(error, result, type); }
list|@SafeVarargs public static <T> List<T> (boolean isLinked, T... values) { if (ArrayUtil.isEmpty(values)) { return list(isLinked); } List<T> arrayList = isLinked ? new LinkedList<T>() : new ArrayList<T>(values.length); for (T t : values) { arrayList.add(t); } return arrayList; }
extract object|@SuppressWarnings("UnusedParameters") protected ByteBuf (ChannelHandlerContext ctx, ByteBuf buffer, int index, int length) { return buffer.retainedSlice(index, length); }
set session id context|public boolean (byte[] sidCtx) { Lock writerLock = context.ctxLock.writeLock(); writerLock.lock(); try { return SSLContext.setSessionIdContext(context.ctx, sidCtx); } finally { writerLock.unlock(); } }
set minimum value|public DoubleParameter (double minimumValue, boolean inclusive) { if (hasDefaultValue) { if (inclusive) { Util.checkParameter(minimumValue <= defaultValue, "Minimum value (" + minimumValue + ") must be less than or equal to default (" + defaultValue + ")"); } else { Util.checkParameter(minimumValue < defaultValue, "Minimum value (" + minimumValue + ") must be less than default (" + defaultValue + ")"); } } else if (hasMaximumValue) { if (inclusive && maximumValueInclusive) { Util.checkParameter(minimumValue <= maximumValue, "Minimum value (" + minimumValue + ") must be less than or equal to maximum (" + maximumValue + ")"); } else { Util.checkParameter(minimumValue < maximumValue, "Minimum value (" + minimumValue + ") must be less than maximum (" + maximumValue + ")"); } } this.hasMinimumValue = true; this.minimumValue = minimumValue; this.minimumValueInclusive = inclusive; return this; }
validate completable return type|private void (Method commandMethod, Class<?> callbackReturnType) { if (Void.TYPE == callbackReturnType) { throw new FallbackDefinitionException(createErrorMsg(commandMethod, method, "fallback cannot return 'void' if command return type is " + Completable.class.getSimpleName())); } }
add|void (long value) { if (value >= 0) { if (count > 0) { min = Math.min(min, value); max = Math.max(max, value); } else { min = value; max = value; } count++; sum += value; } }
add or update|public int (Entity entity) throws SQLException { return null == entity.get(primaryKeyField) ? add(entity) : update(entity); }
is valid authority|protected boolean (String authority) { if (authority == null) { return false; } // check manual authority validation if specified if (authorityValidator != null && authorityValidator.isValid(authority)) { return true; } // convert to ASCII if possible final String authorityASCII = DomainValidator.unicodeToASCII(authority); Matcher authorityMatcher = AUTHORITY_PATTERN.matcher(authorityASCII); if (!authorityMatcher.matches()) { return false; } // We have to process IPV6 separately because that is parsed in a different group String ipv6 = authorityMatcher.group(PARSE_AUTHORITY_IPV6); if (ipv6 != null) { InetAddressValidator inetAddressValidator = InetAddressValidator.getInstance(); if (!inetAddressValidator.isValidInet6Address(ipv6)) { return false; } } else { String hostLocation = authorityMatcher.group(PARSE_AUTHORITY_HOST_IP); // check if authority is hostname or IP address: // try a hostname first since that's much more likely DomainValidator domainValidator = DomainValidator.getInstance(isOn(ALLOW_LOCAL_URLS)); if (!domainValidator.isValid(hostLocation)) { // try an IPv4 address InetAddressValidator inetAddressValidator = InetAddressValidator.getInstance(); if (!inetAddressValidator.isValidInet4Address(hostLocation)) { // isn't IPv4, so the URL is invalid return false; } } String port = authorityMatcher.group(PARSE_AUTHORITY_PORT); if (port != null && port.length() > 0) { try { int iPort = Integer.parseInt(port); if (iPort < 0 || iPort > MAX_UNSIGNED_16_BIT_INT) { return false; } } catch (NumberFormatException nfe) { return false; } } } String extra = authorityMatcher.group(PARSE_AUTHORITY_EXTRA); if (extra != null && extra.trim().length() > 0) { return false; } return true; }
initialize|private void (ImageIcon icon) { this.setLayout(new CardLayout()); if (Model.getSingleton().getOptionsParam().getViewParam().getWmUiHandlingOption() == 0) { this.setSize(474, 251); } this.setName(Constant.messages.getString(prefix + ".panel.title")); this.setIcon(icon); this.add(getPanelCommand(), prefix + ".panel"); scanStatus = new ScanStatus(icon, Constant.messages.getString(prefix + ".panel.title")); if (View.isInitialised()) { View.getSingleton().getMainFrame().getMainFooterPanel().addFooterToolbarRightLabel(scanStatus.getCountLabel()); } }
get handle o data specific parameters|private JCheckBox () { if (handleODataSpecificParameters == null) { handleODataSpecificParameters = new JCheckBox(); handleODataSpecificParameters.setText(Constant.messages.getString("spider.options.label.handlehodataparameters")); } return handleODataSpecificParameters; }
copy with flow control|public static <V> void (final Iterable<V> source, CallStreamObserver<V> target) { Preconditions.checkNotNull(source, "source"); copyWithFlowControl(source.iterator(), target); }
get be ulong|public final long (final int pos) { final int position = origin + pos; if (pos + 4 >= limit || pos < 0) throw new IllegalArgumentException("limit excceed: " + (pos < 0 ? pos : (pos + 4))); byte[] buf = buffer; return ((long) (0xff & buf[position + 4])) | ((long) (0xff & buf[position + 3]) << 8) | ((long) (0xff & buf[position + 2]) << 16) | ((long) (0xff & buf[position + 1]) << 24) | ((long) (0xff & buf[position]) << 32); }
build history|CharSequence () { StringBuilder historyText = new StringBuilder(1000); SQLiteOpenHelper helper = new DBHelper(activity); try (SQLiteDatabase db = helper.getReadableDatabase(); Cursor cursor = db.query(DBHelper.TABLE_NAME, COLUMNS, null, null, null, null, DBHelper.TIMESTAMP_COL + " DESC")) { DateFormat format = DateFormat.getDateTimeInstance(DateFormat.MEDIUM, DateFormat.MEDIUM); while (cursor.moveToNext()) { historyText.append('"').append(massageHistoryField(cursor.getString(0))).append("\","); historyText.append('"').append(massageHistoryField(cursor.getString(1))).append("\","); historyText.append('"').append(massageHistoryField(cursor.getString(2))).append("\","); historyText.append('"').append(massageHistoryField(cursor.getString(3))).append("\","); // Add timestamp again, formatted long timestamp = cursor.getLong(3); historyText.append('"').append(massageHistoryField(format.format(timestamp))).append("\","); // Above we're preserving the old ordering of columns which had formatted data in position 5 historyText.append('"').append(massageHistoryField(cursor.getString(4))).append("\"\r\n"); } } catch (SQLException sqle) { Log.w(TAG, sqle); } return historyText; }
sort candidates|public static List<Pair<Double, Integer>> (INDArray x, INDArray X, List<Integer> candidates, String similarityFunction) { int prevIdx = -1; List<Pair<Double, Integer>> ret = new ArrayList<>(); for (int i = 0; i < candidates.size(); i++) { if (candidates.get(i) != prevIdx) { ret.add(Pair.of(computeDistance(similarityFunction, X.slice(candidates.get(i)), x), candidates.get(i))); } prevIdx = i; } Collections.sort(ret, new Comparator<Pair<Double, Integer>>() { @Override public int compare(Pair<Double, Integer> doubleIntegerPair, Pair<Double, Integer> t1) { return Doubles.compare(doubleIntegerPair.getFirst(), t1.getFirst()); } }); return ret; }
decode timestamp|public static long (long seconds, long serializedNanos, long baseTimestampInSeconds) { long millis = (seconds + baseTimestampInSeconds) * MILLIS_PER_SECOND; long nanos = parseNanos(serializedNanos); if (nanos > 999999999 || nanos < 0) { throw new IllegalArgumentException("nanos field of an encoded timestamp in ORC must be between 0 and 999999999 inclusive, got " + nanos); } // (42)*1000 + 1 = 42001 if (millis < 0 && nanos != 0) { millis -= 1000; } // Truncate nanos to millis and add to mills return millis + (nanos / 1_000_000); }
setup local|@Override public void () { int idx = H2O.SELF.index(); _result = new NodeProfile[H2O.CLOUD.size()]; Map<String, Integer> countedStackTraces = new HashMap<>(); final int repeats = 100; for (int i = 0; i < repeats; ++i) { Map<Thread, StackTraceElement[]> allStackTraces = Thread.getAllStackTraces(); for (Map.Entry<Thread, StackTraceElement[]> el : allStackTraces.entrySet()) { StringBuilder sb = new StringBuilder(); int j = 0; for (StackTraceElement ste : el.getValue()) { String val = ste.toString(); if (j == 0 && (val.equals("sun.misc.Unsafe.park(Native Method)") || val.equals("java.lang.Object.wait(Native Method)") || val.equals("java.lang.Thread.sleep(Native Method)") || val.equals("java.lang.Thread.yield(Native Method)") || val.equals("java.net.PlainSocketImpl.socketAccept(Native Method)") || val.equals("sun.nio.ch.ServerSocketChannelImpl.accept0(Native Method)") || val.equals("sun.nio.ch.DatagramChannelImpl.receive0(Native Method)") || val.equals("java.lang.Thread.dumpThreads(Native Method)"))) { break; } sb.append(ste.toString()); sb.append("\n"); j++; if (j == _stack_depth) break; } String st = sb.toString(); boolean found = false; for (Map.Entry<String, Integer> entry : countedStackTraces.entrySet()) { if (entry.getKey().equals(st)) { entry.setValue(entry.getValue() + 1); found = true; break; } } if (!found) countedStackTraces.put(st, 1); } try { Thread.sleep(1); } catch (InterruptedException e) { e.printStackTrace(); } } int i = 0; _result[idx] = new NodeProfile(countedStackTraces.size()); _result[idx].node_name = H2O.getIpPortString(); _result[idx].timestamp = System.currentTimeMillis(); for (Map.Entry<String, Integer> entry : countedStackTraces.entrySet()) { _result[idx].stacktraces[i] = entry.getKey(); _result[idx].counts[i] = entry.getValue(); i++; } Map<Integer, String> sorted = new TreeMap<>(Collections.reverseOrder()); for (int j = 0; j < _result[idx].counts.length; ++j) { if (_result[idx].stacktraces[j] != null && _result[idx].stacktraces[j].length() > 0) sorted.put(_result[idx].counts[j], _result[idx].stacktraces[j]); } // overwrite results String[] sorted_stacktraces = new String[sorted.entrySet().size()]; int[] sorted_counts = new int[sorted.entrySet().size()]; i = 0; for (Map.Entry<Integer, String> e : sorted.entrySet()) { sorted_stacktraces[i] = e.getValue(); sorted_counts[i] = e.getKey(); i++; } _result[idx].stacktraces = sorted_stacktraces; _result[idx].counts = sorted_counts; }
iterator|public Iterator<T> () { final Iterator<T> itr = base.iterator(); return new Iterator<T>() { public boolean hasNext() { return itr.hasNext(); } public T next() { return itr.next(); } public void remove() { itr.remove(); } }; }
kill all spawned hadoop jobs|public static Set<String> (String logFilePath, Logger log) { Set<String> allSpawnedJobs = findApplicationIdFromLog(logFilePath, log); log.info("applicationIds to kill: " + allSpawnedJobs); for (String appId : allSpawnedJobs) { try { killJobOnCluster(appId, log); } catch (Throwable t) { log.warn("something happened while trying to kill this job: " + appId, t); } } return allSpawnedJobs; }
upload|@Override public void (String path, InputStream payload, long payloadSize) { try { ObjectMetadata objectMetadata = new ObjectMetadata(); objectMetadata.setContentType(CONTENT_TYPE); objectMetadata.setContentLength(payloadSize); PutObjectRequest request = new PutObjectRequest(bucketName, path, payload, objectMetadata); s3Client.putObject(request); } catch (SdkClientException e) { String msg = "Error communicating with S3"; logger.error(msg, e); throw new ApplicationException(ApplicationException.Code.BACKEND_ERROR, msg, e); } }
hash|public MurmurHash (int input) { count++; input *= 0xcc9e2d51; input = Integer.rotateLeft(input, 15); input *= 0x1b873593; hash ^= input; hash = Integer.rotateLeft(hash, 13); hash = hash * 5 + 0xe6546b64; return this; }
run fetch loop|@Override public void () throws Exception { // the map from broker to the thread that is connected to that broker final Map<Node, SimpleConsumerThread<T>> brokerToThread = new HashMap<>(); // this holds possible the exceptions from the concurrent broker connection threads final ExceptionProxy errorHandler = new ExceptionProxy(Thread.currentThread()); // the offset handler handles the communication with ZooKeeper, to commit externally visible offsets final ZookeeperOffsetHandler zookeeperOffsetHandler = new ZookeeperOffsetHandler(kafkaConfig); this.zookeeperOffsetHandler = zookeeperOffsetHandler; PeriodicOffsetCommitter periodicCommitter = null; try { // values yet; replace those with actual offsets, according to what the sentinel value represent. for (KafkaTopicPartitionState<TopicAndPartition> partition : subscribedPartitionStates()) { if (partition.getOffset() == KafkaTopicPartitionStateSentinel.EARLIEST_OFFSET) { // this will be replaced by an actual offset in SimpleConsumerThread partition.setOffset(OffsetRequest.EarliestTime()); } else if (partition.getOffset() == KafkaTopicPartitionStateSentinel.LATEST_OFFSET) { // this will be replaced by an actual offset in SimpleConsumerThread partition.setOffset(OffsetRequest.LatestTime()); } else if (partition.getOffset() == KafkaTopicPartitionStateSentinel.GROUP_OFFSET) { Long committedOffset = zookeeperOffsetHandler.getCommittedOffset(partition.getKafkaTopicPartition()); if (committedOffset != null) { // the committed offset in ZK represents the next record to process, // so we subtract it by 1 to correctly represent internal state partition.setOffset(committedOffset - 1); } else { // if we can't find an offset for a partition in ZK when using GROUP_OFFSETS, // we default to "auto.offset.reset" like the Kafka high-level consumer LOG.warn("No group offset can be found for partition {} in Zookeeper;" + " resetting starting offset to 'auto.offset.reset'", partition); partition.setOffset(invalidOffsetBehavior); } } else { // the partition already has a specific start offset and is ready to be consumed } } // start the periodic offset committer thread, if necessary if (autoCommitInterval > 0) { LOG.info("Starting periodic offset committer, with commit interval of {}ms", autoCommitInterval); periodicCommitter = new PeriodicOffsetCommitter(zookeeperOffsetHandler, subscribedPartitionStates(), errorHandler, autoCommitInterval); periodicCommitter.setName("Periodic Kafka partition offset committer"); periodicCommitter.setDaemon(true); periodicCommitter.start(); } // Main loop polling elements from the unassignedPartitions queue to the threads while (running) { // re-throw any exception from the concurrent fetcher threads errorHandler.checkAndThrowException(); // wait for max 5 seconds trying to get partitions to assign // if threads shut down, this poll returns earlier, because the threads inject the // special marker into the queue List<KafkaTopicPartitionState<TopicAndPartition>> partitionsToAssign = unassignedPartitionsQueue.getBatchBlocking(5000); // note: if there are more markers, remove them all partitionsToAssign.removeIf(MARKER::equals); if (!partitionsToAssign.isEmpty()) { LOG.info("Assigning {} partitions to broker threads", partitionsToAssign.size()); Map<Node, List<KafkaTopicPartitionState<TopicAndPartition>>> partitionsWithLeaders = findLeaderForPartitions(partitionsToAssign, kafkaConfig); // assign the partitions to the leaders (maybe start the threads) for (Map.Entry<Node, List<KafkaTopicPartitionState<TopicAndPartition>>> partitionsWithLeader : partitionsWithLeaders.entrySet()) { final Node leader = partitionsWithLeader.getKey(); final List<KafkaTopicPartitionState<TopicAndPartition>> partitions = partitionsWithLeader.getValue(); SimpleConsumerThread<T> brokerThread = brokerToThread.get(leader); if (!running) { break; } if (brokerThread == null || !brokerThread.getNewPartitionsQueue().isOpen()) { // start new thread brokerThread = createAndStartSimpleConsumerThread(partitions, leader, errorHandler); brokerToThread.put(leader, brokerThread); } else { // put elements into queue of thread ClosableBlockingQueue<KafkaTopicPartitionState<TopicAndPartition>> newPartitionsQueue = brokerThread.getNewPartitionsQueue(); for (KafkaTopicPartitionState<TopicAndPartition> fp : partitions) { if (!newPartitionsQueue.addIfOpen(fp)) { // we were unable to add the partition to the broker's queue // the broker has closed in the meantime (the thread will shut down) // create a new thread for connecting to this broker List<KafkaTopicPartitionState<TopicAndPartition>> seedPartitions = new ArrayList<>(); seedPartitions.add(fp); brokerThread = createAndStartSimpleConsumerThread(seedPartitions, leader, errorHandler); brokerToThread.put(leader, brokerThread); // update queue for the subsequent partitions newPartitionsQueue = brokerThread.getNewPartitionsQueue(); } } } } } else { // there were no partitions to assign. Check if any broker threads shut down. // we get into this section of the code, if either the poll timed out, or the // blocking poll was woken up by the marker element Iterator<SimpleConsumerThread<T>> bttIterator = brokerToThread.values().iterator(); while (bttIterator.hasNext()) { SimpleConsumerThread<T> thread = bttIterator.next(); if (!thread.getNewPartitionsQueue().isOpen()) { LOG.info("Removing stopped consumer thread {}", thread.getName()); bttIterator.remove(); } } } if (brokerToThread.size() == 0 && unassignedPartitionsQueue.isEmpty()) { if (unassignedPartitionsQueue.close()) { LOG.info("All consumer threads are finished, there are no more unassigned partitions. Stopping fetcher"); break; } // we end up here if somebody added something to the queue in the meantime --> continue to poll queue again } } } catch (InterruptedException e) { errorHandler.checkAndThrowException(); throw e; } finally { this.running = false; this.zookeeperOffsetHandler = null; // if we run a periodic committer thread, shut that down if (periodicCommitter != null) { periodicCommitter.shutdown(); } // clear the interruption flag // this allows the joining on consumer threads (on best effort) to happen in // case the initial interrupt already Thread.interrupted(); // make sure that in any case (completion, abort, error), all spawned threads are stopped try { int runningThreads; do { // check whether threads are alive and cancel them runningThreads = 0; Iterator<SimpleConsumerThread<T>> threads = brokerToThread.values().iterator(); while (threads.hasNext()) { SimpleConsumerThread<?> t = threads.next(); if (t.isAlive()) { t.cancel(); runningThreads++; } else { threads.remove(); } } // wait for the threads to finish, before issuing a cancel call again if (runningThreads > 0) { for (SimpleConsumerThread<?> t : brokerToThread.values()) { t.join(500 / runningThreads + 1); } } } while (runningThreads > 0); } catch (InterruptedException ignored) { Thread.currentThread().interrupt(); } catch (Throwable t) { LOG.error("Exception while shutting down consumer threads", t); } try { zookeeperOffsetHandler.close(); } catch (Throwable t) { LOG.error("Exception while shutting down ZookeeperOffsetHandler", t); } } }
compare|@Override public int (Pair<Double, Integer> doubleIntegerPair, Pair<Double, Integer> t1) { return Doubles.compare(doubleIntegerPair.getFirst(), t1.getFirst()); }
send|@SuppressWarnings("resource") void (final OtpErlangPid from, final String dest, final OtpErlangObject msg) throws IOException { // encode and send the message sendBuf(from, dest, new OtpOutputStream(msg)); }
get help|public String () { StringBuilder sb = new StringBuilder(data.size() * HELP_TEXT_LENGTH_PER_PARAM); sb.append("Required Parameters:"); sb.append(HELP_TEXT_LINE_DELIMITER); for (Option o : data.values()) { sb.append(this.helpText(o)); } sb.append(HELP_TEXT_LINE_DELIMITER); return sb.toString(); }
open|@Override public void (InputSplit ignored) throws IOException { this.session = cluster.connect(); this.resultSet = session.execute(query); }
download and extract|public static void (String name, URL url, File f, File extractToDir, String targetMD5, int maxTries) throws IOException { downloadAndExtract(0, maxTries, name, url, f, extractToDir, targetMD5); }
convert to type info|@SuppressWarnings("unchecked") public static <T> TypeInformation<T> (String avroSchemaString) { Preconditions.checkNotNull(avroSchemaString, "Avro schema must not be null."); final Schema schema; try { schema = new Schema.Parser().parse(avroSchemaString); } catch (SchemaParseException e) { throw new IllegalArgumentException("Could not parse Avro schema string.", e); } return (TypeInformation<T>) convertToTypeInfo(schema); }
format duration|public static String (final long startTime, final long endTime) { if (startTime == -1) { return "-"; } final long durationMS; if (endTime == -1) { durationMS = System.currentTimeMillis() - startTime; } else { durationMS = endTime - startTime; } long seconds = durationMS / 1000; if (seconds < 60) { return seconds + " sec"; } long minutes = seconds / 60; seconds %= 60; if (minutes < 60) { return minutes + "m " + seconds + "s"; } long hours = minutes / 60; minutes %= 60; if (hours < 24) { return hours + "h " + minutes + "m " + seconds + "s"; } final long days = hours / 24; hours %= 24; return days + "d " + hours + "h " + minutes + "m"; }
add|public boolean (Task task) { // Check that this slot has been assigned to the job sending this task Preconditions.checkArgument(task.getJobID().equals(jobId), "The task's job id does not match the " + "job id for which the slot has been allocated."); Preconditions.checkArgument(task.getAllocationId().equals(allocationId), "The task's allocation " + "id does not match the allocation id for which the slot has been allocated."); Preconditions.checkState(TaskSlotState.ACTIVE == state, "The task slot is not in state active."); Task oldTask = tasks.put(task.getExecutionId(), task); if (oldTask != null) { tasks.put(task.getExecutionId(), oldTask); return false; } else { return true; } }
add globals|ValFrame (Frame fr) { _ses.addGlobals(fr); return new ValFrame(new Frame(fr._names.clone(), fr.vecs().clone())); }
variance|public SDVariable (String name, @NonNull SDVariable x, boolean biasCorrected, int... dimensions) { return variance(name, x, biasCorrected, false, dimensions); }
versioned|public static TableEntry (@NonNull ArrayView key, @NonNull ArrayView value, long version) { return new TableEntry(TableKey.versioned(key, version), value); }
start threads|public void () { if (this.sortThread != null) { this.sortThread.start(); } if (this.spillThread != null) { this.spillThread.start(); } if (this.mergeThread != null) { this.mergeThread.start(); } }
obtain loopback ip address|public String () { final NetworkInterface networkInterface = getLoopBackAndIp4Only(); if (networkInterface != null) { return networkInterface.getIp4LoopbackOnly().getHostName(); } final String ipOfIp4LoopBack = getIpOfLoopBackIp4(); if (ipOfIp4LoopBack != null) { return ipOfIp4LoopBack; } if (Platform.getCurrent().is(Platform.UNIX)) { NetworkInterface linuxLoopback = networkInterfaceProvider.getLoInterface(); if (linuxLoopback != null) { final InetAddress netAddress = linuxLoopback.getIp4LoopbackOnly(); if (netAddress != null) { return netAddress.getHostAddress(); } } } throw new WebDriverException("Unable to resolve local loopback address, please file an issue with the full message of this error:\n" + getNetWorkDiags() + "\n==== End of error message"); }
size|@View(name = "", map = "function(doc) { if (doc.service) { emit(doc, doc._id) }}", reduce = "_count") public int size() { val r = db.queryView(createQuery("size")); LOGGER.trace("r.isEmpty [{}]", r.isEmpty()); LOGGER.trace("r.getRows [{}]", r.getRows()); if (r.isEmpty()) { return 0; } return r.getRows().get(0).getValueAsInt(); }
